Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
,,,2022-08-08 13:56:28.141,-0.138,-0.033
,,,2022-08-08 13:56:28.642,-0.133,-0.05
,,,2022-08-08 13:56:29.142,-0.117,-0.021
,,,2022-08-08 13:56:29.643,-0.11,-0.045
,,,2022-08-08 13:56:30.142,-0.175,-0.043
,,,2022-08-08 13:56:30.641,-0.135,-0.016
,,,2022-08-08 13:56:31.141,-0.173,-0.026
,,,2022-08-08 13:56:31.642,-0.098,-0.035
,,,2022-08-08 13:56:32.141,-0.086,-0.011
,,,2022-08-08 13:56:32.642,-0.118,-0.021
,,,2022-08-08 13:56:33.142,-0.158,-0.019
,,,2022-08-08 13:56:33.642,-0.162,-0.031
,,,2022-08-08 13:56:34.143,-0.13,-0.028
,,,2022-08-08 13:56:34.644,-0.178,-0.031
,,,2022-08-08 13:56:35.143,-0.122,-0.038
,,,2022-08-08 13:56:35.644,-0.083,-0.045
,,,2022-08-08 13:56:36.142,-0.093,-0.014
,,,2022-08-08 13:56:36.642,-0.113,-0.009
,,,2022-08-08 13:56:37.142,-0.16,-0.014
,,,2022-08-08 13:56:37.642,-0.152,-0.026
,,,2022-08-08 13:56:38.142,-0.162,-0.029
,,,2022-08-08 13:56:38.641,-0.078,-0.041
,,,2022-08-08 13:56:39.142,-0.13,-0.028
,,,2022-08-08 13:56:39.642,-0.132,-0.014
,,,2022-08-08 13:56:40.142,-0.101,-0.029
,,,2022-08-08 13:56:40.643,-0.15,-0.031
,,,2022-08-08 13:56:41.142,-0.105,-0.018
,,,2022-08-08 13:56:41.642,-0.148,-0.019
,,,2022-08-08 13:56:42.142,-0.117,-0.009
,,,2022-08-08 13:56:42.641,-0.148,-0.009
,,,2022-08-08 13:56:43.143,-0.095,-0.019
,,,2022-08-08 13:56:43.643,-0.185,-0.014
,,,2022-08-08 13:56:44.142,-0.15,-0.014
,,,2022-08-08 13:56:44.643,-0.157,-0.036
,,,2022-08-08 13:56:45.142,-0.173,-0.043
,,,2022-08-08 13:56:45.642,-0.15,-0.033
,,,2022-08-08 13:56:46.142,-0.143,-0.023
,,,2022-08-08 13:56:46.643,-0.132,-0.06
,,,2022-08-08 13:56:47.142,-0.128,-0.018
,,,2022-08-08 13:56:47.643,-0.168,-0.055
,,,2022-08-08 13:56:48.142,-0.115,-0.031
,,,2022-08-08 13:56:48.643,-0.12,-0.026
,,,2022-08-08 13:56:49.143,-0.122,-0.013
,,,2022-08-08 13:56:49.643,-0.153,-0.035
,,,2022-08-08 13:56:50.143,-0.125,-0.036
,,,2022-08-08 13:56:50.642,-0.088,-0.029
,,,2022-08-08 13:56:51.142,-0.127,-0.033
,,,2022-08-08 13:56:51.641,-0.098,-0.033
,,,2022-08-08 13:56:52.142,-0.142,-0.019
,,,2022-08-08 13:56:52.643,-0.145,-0.048
,,,2022-08-08 13:56:53.143,-0.165,-0.008
,,,2022-08-08 13:56:53.643,-0.117,-0.041
,,,2022-08-08 13:56:54.144,-0.147,-0.021
,,,2022-08-08 13:56:54.643,-0.14,-0.029
,,,2022-08-08 13:56:55.142,-0.157,-0.019
,,,2022-08-08 13:56:55.641,-0.155,-0.019
,,,2022-08-08 13:56:56.141,-0.229,-0.023
,,,2022-08-08 13:56:56.641,-0.177,-0.033
,,,2022-08-08 13:56:57.142,-0.173,-0.013
,,,2022-08-08 13:56:57.642,-0.113,-0.026
,,,2022-08-08 13:56:58.142,-0.108,-0.016
,,,2022-08-08 13:56:58.643,-0.135,-0.05
,,,2022-08-08 13:56:59.142,-0.12,-0.026
,,,2022-08-08 13:56:59.643,-0.15,-0.041
,,,2022-08-08 13:57:00.142,-0.1,-0.016
,,,2022-08-08 13:57:00.643,-0.165,-0.045
,,,2022-08-08 13:57:01.142,-0.147,-0.014
,,,2022-08-08 13:57:01.642,-0.195,-0.014
,,,2022-08-08 13:57:02.142,-0.13,-0.014
,,,2022-08-08 13:57:02.642,-0.1,-0.024
,,,2022-08-08 13:57:03.142,-0.112,-0.04
,,,2022-08-08 13:57:03.641,-0.113,-0.05
,,,2022-08-08 13:57:04.143,-0.172,-0.013
,,,2022-08-08 13:57:04.643,-0.13,-0.019
,,,2022-08-08 13:57:05.143,-0.1,-0.033
,,,2022-08-08 13:57:05.643,-0.122,-0.033
,,,2022-08-08 13:57:06.142,-0.113,-0.018
,,,2022-08-08 13:57:06.643,-0.132,-0.026
,,,2022-08-08 13:57:07.142,-0.143,-0.016
,,,2022-08-08 13:57:07.642,-0.153,-0.016
,,,2022-08-08 13:57:08.143,-0.152,-0.043
,,,2022-08-08 13:57:08.642,-0.13,-0.038
,,,2022-08-08 13:57:09.142,-0.123,-0.028
,,,2022-08-08 13:57:09.642,-0.143,-0.073
,,,2022-08-08 13:57:10.142,-0.117,-0.014
,,,2022-08-08 13:57:10.641,-0.122,-0.019
,,,2022-08-08 13:57:11.142,-0.125,-0.023
,,,2022-08-08 13:57:11.642,-0.155,-0.035
,,,2022-08-08 13:57:12.143,-0.175,-0.018
,,,2022-08-08 13:57:12.643,-0.162,-0.021
,,,2022-08-08 13:57:13.141,-0.135,-0.033
,,,2022-08-08 13:57:13.643,-0.132,-0.013
,,,2022-08-08 13:57:14.145,-0.103,-0.04
,,,2022-08-08 13:57:14.642,-0.12,-0.031
,,,2022-08-08 13:57:15.143,-0.135,-0.029
,,,2022-08-08 13:57:15.642,-0.162,-0.038
,,,2022-08-08 13:57:16.142,-0.205,-0.038
,,,2022-08-08 13:57:16.642,-0.165,-0.06
,,,2022-08-08 13:57:17.142,-0.155,-0.036
,,,2022-08-08 13:57:17.641,-0.214,-0.029
,,,2022-08-08 13:57:18.141,-0.172,-0.026
,,,2022-08-08 13:57:18.642,-0.122,-0.043
,,,2022-08-08 13:57:19.142,-0.128,-0.026
,,,2022-08-08 13:57:19.644,-0.15,-0.023
,,,2022-08-08 13:57:20.142,-0.145,-0.036
,,,2022-08-08 13:57:20.643,-0.101,-0.028
,,,2022-08-08 13:57:21.142,-0.122,-0.024
,,,2022-08-08 13:57:21.643,-0.113,-0.035
,,,2022-08-08 13:57:22.142,-0.128,-0.028
,,,2022-08-08 13:57:22.642,-0.155,-0.033
,,,2022-08-08 13:57:23.142,-0.098,-0.021
,,,2022-08-08 13:57:23.641,-0.135,-0.019
,,,2022-08-08 13:57:24.141,-0.138,-0.043
,,,2022-08-08 13:57:24.642,-0.122,-0.026
,,,2022-08-08 13:57:25.142,-0.115,-0.033
,,,2022-08-08 13:57:25.642,-0.12,-0.026
,,,2022-08-08 13:57:26.142,-0.138,-0.009
,,,2022-08-08 13:57:26.642,-0.22,-0.045
,,,2022-08-08 13:57:27.143,-0.152,-0.035
,,,2022-08-08 13:57:27.642,-0.096,-0.031
,,,2022-08-08 13:57:28.143,-0.125,-0.035
,,,2022-08-08 13:57:28.643,-0.125,-0.038
,,,2022-08-08 13:57:29.142,-0.138,-0.038
,,,2022-08-08 13:57:29.644,-0.165,-0.019
,,,2022-08-08 13:57:30.142,-0.103,-0.036
,,,2022-08-08 13:57:30.643,-0.162,-0.023
,,,2022-08-08 13:57:31.143,-0.13,-0.024
,,,2022-08-08 13:57:31.642,-0.127,-0.019
,,,2022-08-08 13:57:32.143,-0.106,-0.019
,,,2022-08-08 13:57:32.643,-0.108,-0.026
,,,2022-08-08 13:57:33.143,-0.165,-0.011
,,,2022-08-08 13:57:33.641,-0.142,-0.013
,,,2022-08-08 13:57:34.142,-0.214,-0.023
,,,2022-08-08 13:57:34.642,-0.138,-0.026
,,,2022-08-08 13:57:35.143,-0.127,-0.023
,,,2022-08-08 13:57:35.642,-0.122,-0.036
,,,2022-08-08 13:57:36.144,-0.12,-0.031
,,,2022-08-08 13:57:36.642,-0.167,-0.019
,,,2022-08-08 13:57:37.143,-0.204,-0.024
,,,2022-08-08 13:57:37.643,-0.115,-0.021
,,,2022-08-08 13:57:38.142,-0.13,-0.026
,,,2022-08-08 13:57:38.641,-0.123,-0.019
,,,2022-08-08 13:57:39.142,-0.163,-0.036
,,,2022-08-08 13:57:39.641,-0.08,-0.016
,,,2022-08-08 13:57:40.142,-0.125,-0.014
,,,2022-08-08 13:57:40.642,-0.167,-0.019
,,,2022-08-08 13:57:41.142,-0.13,-0.024
,,,2022-08-08 13:57:41.643,-0.173,-0.048
,,,2022-08-08 13:57:42.142,-0.158,-0.026
,,,2022-08-08 13:57:42.642,-0.167,-0.046
,,,2022-08-08 13:57:43.142,-0.123,-0.014
,,,2022-08-08 13:57:43.643,-0.2,-0.026
,,,2022-08-08 13:57:44.144,-0.152,-0.036
,,,2022-08-08 13:57:44.643,-0.187,-0.036
,,,2022-08-08 13:57:45.141,-0.115,-0.019
,,,2022-08-08 13:57:45.641,-0.137,-0.038
,,,2022-08-08 13:57:46.140,-0.12,-0.028
,,,2022-08-08 13:57:46.641,-0.155,-0.026
,,,2022-08-08 13:57:47.142,-0.148,-0.019
,,,2022-08-08 13:57:47.642,-0.12,-0.018
,,,2022-08-08 13:57:48.142,-0.214,-0.029
,,,2022-08-08 13:57:48.641,-0.145,-0.026
,,,2022-08-08 13:57:49.142,-0.17,-0.071
,,,2022-08-08 13:57:49.642,-0.135,-0.016
,,,2022-08-08 13:57:50.143,-0.13,-0.031
,,,2022-08-08 13:57:50.642,-0.148,-0.031
,,,2022-08-08 13:57:51.143,-0.152,-0.014
,,,2022-08-08 13:57:51.643,-0.19,-0.055
,,,2022-08-08 13:57:52.141,-0.09,-0.013
,,,2022-08-08 13:57:52.641,-0.163,-0.045
,,,2022-08-08 13:57:53.142,-0.093,-0.056
,,,2022-08-08 13:57:53.642,-0.103,-0.036
,,,2022-08-08 13:57:54.142,-0.088,-0.051
,,,2022-08-08 13:57:54.642,-0.158,-0.035
,,,2022-08-08 13:57:55.142,-0.16,-0.019
,,,2022-08-08 13:57:55.642,-0.13,-0.043
,,,2022-08-08 13:57:56.143,-0.125,-0.016
,,,2022-08-08 13:57:56.643,-0.163,-0.023
,,,2022-08-08 13:57:57.143,-0.175,-0.026
,,,2022-08-08 13:57:57.643,-0.13,-0.04
,,,2022-08-08 13:57:58.142,-0.143,-0.04
,,,2022-08-08 13:57:58.643,-0.155,-0.026
,,,2022-08-08 13:57:59.142,-0.101,-0.021
,,,2022-08-08 13:57:59.642,-0.147,-0.016
,,,2022-08-08 13:58:00.143,-0.167,-0.031
,,,2022-08-08 13:58:00.642,-0.172,-0.026
,,,2022-08-08 13:58:01.144,-0.18,-0.014
,,,2022-08-08 13:58:01.642,-0.125,-0.019
,,,2022-08-08 13:58:02.141,-0.18,-0.023
,,,2022-08-08 13:58:02.642,-0.081,-0.021
,,,2022-08-08 13:58:03.143,-0.145,-0.051
,,,2022-08-08 13:58:03.643,-0.152,-0.033
,,,2022-08-08 13:58:04.141,-0.127,-0.038
,,,2022-08-08 13:58:04.641,-0.103,-0.019
,,,2022-08-08 13:58:05.143,-0.152,-0.019
,,,2022-08-08 13:58:05.643,-0.135,-0.018
,,,2022-08-08 13:58:06.142,-0.095,-0.014
,,,2022-08-08 13:58:06.642,-0.118,-0.026
,,,2022-08-08 13:58:07.141,-0.145,-0.026
,,,2022-08-08 13:58:07.643,-0.158,-0.014
,,,2022-08-08 13:58:08.144,-0.165,-0.024
,,,2022-08-08 13:58:08.643,-0.11,-0.038
,,,2022-08-08 13:58:09.142,-0.175,-0.031
,,,2022-08-08 13:58:09.642,-0.157,-0.04
,,,2022-08-08 13:58:10.143,-0.133,-0.028
,,,2022-08-08 13:58:10.642,-0.153,-0.033
,,,2022-08-08 13:58:11.142,-0.138,-0.024
,,,2022-08-08 13:58:11.642,-0.142,-0.009
,,,2022-08-08 13:58:12.143,-0.113,-0.009
,,,2022-08-08 13:58:12.643,-0.076,-0.038
,,,2022-08-08 13:58:13.142,-0.175,-0.021
,,,2022-08-08 13:58:13.643,-0.118,-0.013
,,,2022-08-08 13:58:14.142,-0.125,-0.021
,,,2022-08-08 13:58:14.643,-0.091,-0.05
