Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
,,,2022-07-26 14:00:18.403,-1.18828,-0.75314
,,,2022-07-26 14:00:18.903,-1.12134,-0.76987
,,,2022-07-26 14:00:19.403,-1.25523,-0.71967
,,,2022-07-26 14:00:19.904,-1.27197,-0.68619
,,,2022-07-26 14:00:20.402,-1.2887,-0.80335
,,,2022-07-26 14:00:20.903,-1.23849,-0.80335
,,,2022-07-26 14:00:21.403,-1.1046,-0.65272
,,,2022-07-26 14:00:21.904,-1.23849,-0.80335
,,,2022-07-26 14:00:22.404,-1.22176,-0.66946
,,,2022-07-26 14:00:22.904,-1.35565,-0.7364
,,,2022-07-26 14:00:23.403,-1.37238,-0.70293
,,,2022-07-26 14:00:23.903,-1.23849,-0.82008
,,,2022-07-26 14:00:24.403,-1.23849,-0.70293
,,,2022-07-26 14:00:24.903,-1.15481,-0.80335
,,,2022-07-26 14:00:25.403,-1.25523,-0.75314
,,,2022-07-26 14:00:25.903,-1.33891,-0.76987
,,,2022-07-26 14:00:26.403,-1.12134,-0.78661
,,,2022-07-26 14:00:26.902,-1.23849,-0.75314
,,,2022-07-26 14:00:27.404,-1.23849,-0.78661
,,,2022-07-26 14:00:27.903,-1.20502,-0.7364
,,,2022-07-26 14:00:28.403,-1.18828,-0.76987
,,,2022-07-26 14:00:28.904,-1.27197,-0.5523
,,,2022-07-26 14:00:29.403,-1.33891,-0.78661
,,,2022-07-26 14:00:29.903,-1.33891,-0.66946
,,,2022-07-26 14:00:30.405,-1.22176,-0.78661
,,,2022-07-26 14:00:30.903,-1.17155,-0.75314
,,,2022-07-26 14:00:31.404,-1.33891,-0.83682
,,,2022-07-26 14:00:31.904,-1.35565,-0.88703
,,,2022-07-26 14:00:32.403,-1.20502,-0.7364
,,,2022-07-26 14:00:32.904,-1.13808,-0.76987
,,,2022-07-26 14:00:33.402,-1.2887,-0.87029
,,,2022-07-26 14:00:33.903,-1.32218,-0.87029
,,,2022-07-26 14:00:34.402,-1.22176,-0.75314
,,,2022-07-26 14:00:34.902,-1.23849,-0.75314
,,,2022-07-26 14:00:35.402,-1.12134,-0.66946
,,,2022-07-26 14:00:35.903,-1.4728,-0.70293
,,,2022-07-26 14:00:36.403,-1.35565,-0.68619
,,,2022-07-26 14:00:36.903,-1.30544,-0.78661
,,,2022-07-26 14:00:37.403,-1.15481,-0.82008
,,,2022-07-26 14:00:37.904,-1.23849,-0.70293
,,,2022-07-26 14:00:38.404,-1.23849,-0.75314
,,,2022-07-26 14:00:38.903,-1.33891,-0.7364
,,,2022-07-26 14:00:39.404,-1.22176,-0.78661
,,,2022-07-26 14:00:39.904,-1.30544,-0.68619
,,,2022-07-26 14:00:40.402,-1.30544,-0.82008
,,,2022-07-26 14:00:40.902,-1.32218,-0.71967
,,,2022-07-26 14:00:41.403,-1.15481,-0.70293
,,,2022-07-26 14:00:41.904,-1.17155,-0.78661
,,,2022-07-26 14:00:42.403,-1.22176,-0.75314
,,,2022-07-26 14:00:42.903,-1.37238,-0.75314
,,,2022-07-26 14:00:43.404,-1.38912,-0.75314
,,,2022-07-26 14:00:43.903,-1.30544,-0.71967
,,,2022-07-26 14:00:44.403,-1.23849,-0.71967
,,,2022-07-26 14:00:44.904,-1.15481,-0.68619
,,,2022-07-26 14:00:45.403,-1.25523,-0.76987
,,,2022-07-26 14:00:45.903,-1.25523,-0.75314
,,,2022-07-26 14:00:46.403,-1.15481,-0.80335
,,,2022-07-26 14:00:46.904,-1.38912,-0.68619
,,,2022-07-26 14:00:47.403,-1.35565,-0.85356
,,,2022-07-26 14:00:47.903,-1.23849,-0.65272
,,,2022-07-26 14:00:48.404,-1.20502,-0.63598
,,,2022-07-26 14:00:48.902,-1.38912,-0.71967
,,,2022-07-26 14:00:49.402,-1.33891,-0.70293
,,,2022-07-26 14:00:49.902,-1.20502,-0.7364
,,,2022-07-26 14:00:50.403,-1.2887,-0.80335
,,,2022-07-26 14:00:50.904,-1.43933,-0.75314
,,,2022-07-26 14:00:51.404,-1.23849,-0.75314
,,,2022-07-26 14:00:51.904,-1.23849,-0.78661
,,,2022-07-26 14:00:52.404,-1.15481,-0.63598
,,,2022-07-26 14:00:52.903,-1.32218,-0.71967
,,,2022-07-26 14:00:53.403,-1.32218,-0.68619
,,,2022-07-26 14:00:53.902,-1.38912,-0.71967
,,,2022-07-26 14:00:54.403,-1.35565,-0.78661
,,,2022-07-26 14:00:54.903,-1.15481,-0.63598
,,,2022-07-26 14:00:55.403,-1.03766,-0.76987
,,,2022-07-26 14:00:55.903,-1.43933,-0.85356
,,,2022-07-26 14:00:56.403,-1.23849,-0.70293
,,,2022-07-26 14:00:56.904,-1.2887,-0.75314
,,,2022-07-26 14:00:57.403,-1.25523,-0.58577
,,,2022-07-26 14:00:57.903,-1.2887,-0.76987
